query	config	requests	first	last	termination	diefficiency	restarts
interactive discover 1.3	timeout 5000	223	8.989	19.612	19.343	113.236	1
interactive discover 1.4	baseline	122	14.01	19.048	18.156	29.218	0
interactive discover 1.4	overhead simple	122	13.651	19.721	19.499	36.982	0
interactive discover 1.4	overhead	122	14.433	19.129	18.749	23.037	0
interactive discover 1.4	timeout 100 void simple	122	10.105	10.957	10.764	7.966	1
interactive discover 1.4	timeout 100 void	122	10.488	10.791	10.422	6.253	1
interactive discover 1.4	timeout 100	122	13.246	18.244	18.12	27.306	1
interactive discover 1.4	timeout 1000 void simple	122	9.802	11.538	11.366	12.08	1
interactive discover 1.4	timeout 1000 void	122	10.691	11.399	11.208	8.634	1
interactive discover 1.4	timeout 1000	122	9.997	11.152	10.743	9.842	1
interactive discover 1.4	timeout 10000 void simple	122	13.803	19.498	19.407	34.478	1
interactive discover 1.4	timeout 10000 void	122	13.824	19.593	19.053	26.582	1
interactive discover 1.4	timeout 10000	122	13.705	26.308	25.951	76.011	1
interactive discover 1.4	timeout 2000 void simple	122	10.995	11.709	11.661	8.166	1
interactive discover 1.4	timeout 2000 void	122	10.574	11.617	11.253	12.626	1
interactive discover 1.4	timeout 2000	122	13.115	19.261	18.628	47.187	1
interactive discover 1.4	timeout 20000 void simple	122	13.794	19.591	19.322	37.315	0
interactive discover 1.4	timeout 20000 void	122	14.743	19.053	18.659	32.081	0
interactive discover 1.4	timeout 20000	122	13.299	18.208	18.046	20.737	0
interactive discover 1.4	timeout 5000 void simple	122	13.552	14.404	14.335	12.16	1
interactive discover 1.4	timeout 5000 void	122	13.908	14.188	14.098	9.035	1
interactive discover 1.4	timeout 5000	122	15.873	21.788	21.226	46.518	1
interactive discover 2.0	baseline	128	11.885	22.711	21.487	257.082	0
interactive discover 2.0	overhead simple	128	11.524	25.503	24.107	395.305	0
interactive discover 2.0	overhead	128	12.661	23.201	23.094	191.751	0
interactive discover 2.0	timeout 100 void simple	128	7.302	21.455	18.6	766.078	1
interactive discover 2.0	timeout 100 void	128	13.611	22.943	22.614	64.369	1
interactive discover 2.0	timeout 100	128	11.017	22.009	21.369	248.385	1
interactive discover 2.0	timeout 1000 void simple	128	9.172	15.141	12.666	317.216	1
interactive discover 2.0	timeout 1000 void	128	10.119	21.585	12.605	680.392	1
interactive discover 2.0	timeout 1000	128	12.323	23.607	22.843	246.444	1
interactive discover 2.0	timeout 10000 void simple	128	11.012	21.688	20.098	348.697	1
interactive discover 2.0	timeout 10000 void	128	11.761	21.005	20.147	284.718	1
interactive discover 2.0	timeout 10000	128	11.501	30.979	30.583	375.526	1
interactive discover 2.0	timeout 2000 void simple	128	10.183	21.405	14.766	630.846	1
interactive discover 2.0	timeout 2000 void	128	11.264	21.685	16.596	625.854	1
interactive discover 2.0	timeout 2000	128	14.101	24.092	23.355	114.713	1
interactive discover 2.0	timeout 20000 void simple	128	11.035	24.531	24.352	249.147	0
interactive discover 2.0	timeout 20000 void	128	11.142	23.211	23.134	300.454	0
interactive discover 2.0	timeout 20000	128	13.216	22.41	21.536	182.488	0
interactive discover 2.0	timeout 5000 void simple	128	11.444	21.161	16.319	468.626	1
interactive discover 2.0	timeout 5000 void	128	11.464	21.39	17.98	457.376	1
interactive discover 2.0	timeout 5000	128	18.627	28.762	26.166	88.519	1
interactive discover 2.1	baseline	20	7.872	8.016	7.929	5.206	0
interactive discover 2.1	overhead simple	20	7.474	8.301	7.852	24.285	0
interactive discover 2.1	overhead	20	7.707	8.11	7.979	18.505	0
interactive discover 2.1	timeout 100 void simple	20	7.551	8.199	7.815	18.47	1
interactive discover 2.1	timeout 100 void	20	7.897	8.052	7.843	8.586	1
interactive discover 2.1	timeout 100	20	7.796	8.25	7.714	22.715	1
interactive discover 2.1	timeout 1000 void simple	20	7.518	8.28	8.11	16.086	1
interactive discover 2.1	timeout 1000 void	20	8.203	8.24	7.947	4.868	1
interactive discover 2.1	timeout 1000	20	7.741	8.145	7.927	5.293	1
interactive discover 2.1	timeout 10000 void simple	20	6.865	7.662	7.554	12.091	0
interactive discover 2.1	timeout 10000 void	20	8.464	8.506	8.202	5.28	0
interactive discover 2.1	timeout 10000	20	7.741	7.94	7.779	10.991	0
interactive discover 2.1	timeout 2000 void simple	20	6.984	7.589	7.483	17.534	0
interactive discover 2.1	timeout 2000 void	20	7.651	7.824	7.528	5.339	0
interactive discover 2.1	timeout 2000	20	7.439	7.766	7.7	8.75	0
interactive discover 2.1	timeout 20000 void simple	20	8.198	9.101	8.562	16.698	0
interactive discover 2.1	timeout 20000 void	20	8.035	8.199	8.083	7.263	0
interactive discover 2.1	timeout 20000	20	7.882	8.214	7.69	13.551	0
interactive discover 2.1	timeout 5000 void simple	20	7.176	7.83	7.597	17.448	0
interactive discover 2.1	timeout 5000 void	20	7.59	7.917	7.664	13.665	0
interactive discover 2.1	timeout 5000	20	8.136	8.278	7.616	5.647	0
interactive discover 2.2	baseline	17	7.777	7.798	7.44	4.129	0
interactive discover 2.2	overhead simple	17	7.457	7.874	7.541	8.431	0
interactive discover 2.2	overhead	17	7.893	7.918	7.516	4.287	0
interactive discover 2.2	timeout 100 void simple	17	7.246	7.661	7.458	5.192	1
interactive discover 2.2	timeout 100 void	17	7.762	7.793	7.446	4.257	1
interactive discover 2.2	timeout 100	17	7.738	7.76	7.546	4.165	1
interactive discover 2.2	timeout 1000 void simple	17	8.059	8.37	7.849	7.697	0
interactive discover 2.2	timeout 1000 void	17	7.573	7.874	7.67	4.523	1
interactive discover 2.2	timeout 1000	17	7.411	7.619	7.485	4.31	0
interactive discover 2.2	timeout 10000 void simple	17	7.626	7.942	7.721	7.486	0
interactive discover 2.2	timeout 10000 void	17	7.766	7.792	7.623	4.231	0
interactive discover 2.2	timeout 10000	17	7.86	7.894	7.591	4.389	0
interactive discover 2.2	timeout 2000 void simple	17	7.473	7.821	7.465	7.73	0
interactive discover 2.2	timeout 2000 void	17	7.489	7.514	7.203	4.082	0
interactive discover 2.2	timeout 2000	17	7.68	7.716	7.573	4.231	0
interactive discover 2.2	timeout 20000 void simple	17	7.596	7.821	7.526	6.013	0
interactive discover 2.2	timeout 20000 void	17	7.893	7.926	7.61	4.414	0
interactive discover 2.2	timeout 20000	17	7.575	7.603	7.248	4.155	0
interactive discover 2.2	timeout 5000 void simple	17	7.388	7.773	7.583	7.492	0
interactive discover 2.2	timeout 5000 void	17	7.637	7.671	7.515	4.253	0
interactive discover 2.2	timeout 5000	17	7.967	7.996	7.494	4.322	0
interactive discover 2.3	baseline	224	10.76	22.781	22.319	735.358	0
interactive discover 2.3	overhead simple	224	7.63	22.734	22.429	1273.571	0
interactive discover 2.3	overhead	224	10.265	23.002	22.843	931.752	0
interactive discover 2.3	timeout 100 void simple	224	8.308	22.331	21.806	1005.643	1
interactive discover 2.3	timeout 100 void	224	10.643	22.576	22.372	820.576	1
interactive discover 2.3	timeout 100	224	11.27	22.571	22.359	648.058	1
interactive discover 2.3	timeout 1000 void simple	224	9.764	22.813	22.284	1052.366	1
interactive discover 2.3	timeout 1000 void	224	11.7	22.525	22.25	788.035	1
interactive discover 2.3	timeout 1000	224	13.291	27.38	23.021	884.327	1
interactive discover 2.3	timeout 10000 void simple	224	8.229	30.765	29.974	1859.999	1
interactive discover 2.3	timeout 10000 void	224	10.181	29.859	29.589	1316.104	1
interactive discover 2.3	timeout 10000	224	10.088	29.532	29.246	1023.944	1
interactive discover 2.3	timeout 2000 void simple	224	8.116	22.992	22.707	1023.411	1
interactive discover 2.3	timeout 2000 void	224	12.76	23.228	22.914	792.743	1
interactive discover 2.3	timeout 2000	224	13.072	26.703	24.561	842.971	1
interactive discover 2.3	timeout 20000 void simple	224	7.971	23.068	22.682	1238.696	0
interactive discover 2.3	timeout 20000 void	224	10.181	23.182	22.642	892.857	0
interactive discover 2.3	timeout 20000	224	11.022	22.507	22.404	687.811	0
interactive discover 2.3	timeout 5000 void simple	224	7.859	24.94	24.762	1043.805	1
interactive discover 2.3	timeout 5000 void	224	10.733	25.316	24.786	859.421	1
interactive discover 2.3	timeout 5000	224	10.821	24.419	24.3	647.798	1
interactive discover 2.4	baseline	123	12.968	21.601	21.201	310.212	0
interactive discover 2.4	overhead simple	123	12.545	23.857	23.383	594.413	0
interactive discover 2.4	overhead	123	12.999	23.534	23.073	337.048	0
interactive discover 2.4	timeout 100 void simple	123	7.889	15.049	12.532	449.445	1
interactive discover 2.4	timeout 100 void	123	12.196	23.002	18.092	424.012	1
interactive discover 2.4	timeout 100	123	12.576	21.756	21.377	348.153	1
interactive discover 2.4	timeout 1000 void simple	123	9.054	20.899	17.2	928.515	1
interactive discover 2.4	timeout 1000 void	123	11.36	14.641	13.681	168.362	1
interactive discover 2.4	timeout 1000	123	15.391	24.196	22.908	185.802	1
interactive discover 2.4	timeout 10000 void simple	123	11.879	21.351	20.722	328.902	1
interactive discover 2.4	timeout 10000 void	123	15.221	20.389	20.3	81.187	1
interactive discover 2.4	timeout 10000	123	13.377	30.228	30.07	272.815	1
interactive discover 2.4	timeout 2000 void simple	123	9.43	21.292	16.913	900.147	1
interactive discover 2.4	timeout 2000 void	123	10.91	21.444	16.349	855.213	1
interactive discover 2.4	timeout 2000	123	14.729	23.672	22.83	232.11	1
interactive discover 2.4	timeout 20000 void simple	123	11.975	23.933	23.743	498.77	0
interactive discover 2.4	timeout 20000 void	123	13.161	24.214	22.844	557.21	0
interactive discover 2.4	timeout 20000	123	12.405	23.071	21.754	335.678	0
interactive discover 2.4	timeout 5000 void simple	123	13.022	15.692	15.431	114.279	1
interactive discover 2.4	timeout 5000 void	123	13.874	15.559	15.222	56.486	1
interactive discover 2.4	timeout 5000	123	17.414	25.276	25.14	152.224	1
interactive discover 3.0	baseline	254	17.571	17.575	16.873	8.902	0
interactive discover 3.0	overhead simple	0			0		0
interactive discover 3.0	overhead	0			0		0
interactive discover 3.0	timeout 100 void simple	254	21.554	21.56	38.222	11.038	1
interactive discover 3.0	timeout 100 void	254	21.903	21.904	15.694	10.962	1
interactive discover 3.0	timeout 100	254	21.499	21.503	20.13	10.878	1
interactive discover 3.0	timeout 1000 void simple	254	14.732	14.737	14.388	7.546	1
interactive discover 3.0	timeout 1000 void	254	15.056	15.06	14.711	7.643	1
interactive discover 3.0	timeout 1000	254	21.449	21.453	16.623	10.857	1
interactive discover 3.0	timeout 10000 void simple	254	22.613	22.616	22.377	11.402	1
interactive discover 3.0	timeout 10000 void	254	22.764	22.771	22.514	11.646	1
interactive discover 3.0	timeout 10000	254	24.74	24.745	21.941	12.516	1
interactive discover 3.0	timeout 2000 void simple	254	14.888	14.893	14.858	7.582	1
interactive discover 3.0	timeout 2000 void	254	21.652	21.657	16.3	10.998	1
interactive discover 3.0	timeout 2000	254	15.001	15.005	14.523	7.618	1
interactive discover 3.0	timeout 20000 void simple	254	33.383	33.387	33.165	16.833	1
interactive discover 3.0	timeout 20000 void	254	32.718	32.722	32.131	16.502	1
interactive discover 3.0	timeout 20000	254	18.001	18.006	17.37	9.166	0
interactive discover 3.0	timeout 5000 void simple	254	17.565	17.571	17.32	9.034	1
interactive discover 3.0	timeout 5000 void	254	17.874	17.878	17.544	9.049	1
interactive discover 3.0	timeout 5000	254	23.518	23.523	16.927	11.952	1
interactive discover 3.1	baseline	148	28.25	28.254	27.92	14.252	0
interactive discover 3.1	overhead simple	0			0		0
interactive discover 3.1	overhead	0			0		0
interactive discover 3.1	timeout 100 void simple	0			0		0
interactive discover 3.1	timeout 100 void	148	21.293	21.298	14.045	10.821	1
interactive discover 3.1	timeout 100	148	33.627	33.632	22.057	16.969	1
interactive discover 3.1	timeout 1000 void simple	0			0		0
interactive discover 3.1	timeout 1000 void	148	14.655	14.661	11.685	7.483	1
interactive discover 3.1	timeout 1000	148	21.369	21.376	13.921	10.958	1
interactive discover 3.1	timeout 10000 void simple	0			0		0
interactive discover 3.1	timeout 10000 void	0			0		0
interactive discover 3.1	timeout 10000	0			0		0
interactive discover 3.1	timeout 2000 void simple	0			0		0
interactive discover 3.1	timeout 2000 void	148	12.303	12.309	18.061	6.316	1
interactive discover 3.1	timeout 2000	148	14.463	14.467	48.324	7.385	1
interactive discover 3.1	timeout 20000 void simple	0			0		0
interactive discover 3.1	timeout 20000 void	0			0		0
interactive discover 3.1	timeout 20000	0			0		0
interactive discover 3.1	timeout 5000 void simple	0			0		0
interactive discover 3.1	timeout 5000 void	148	35.03	35.034	32.96	17.588	1
interactive discover 3.1	timeout 5000	0			0		0
interactive discover 3.2	baseline	101	15.857	15.863	15.531	8.083	0
interactive discover 3.2	overhead simple	101	27.563	27.566	27.118	13.869	0
interactive discover 3.2	overhead	101	27.863	27.867	27.661	14.03	0
interactive discover 3.2	timeout 100 void simple	101	35.373	35.377	30.042	17.784	1
interactive discover 3.2	timeout 100 void	101	14.599	14.602	11.355	7.383	1
interactive discover 3.2	timeout 100	101	9.77	9.773	9.398	4.953	1
interactive discover 3.2	timeout 1000 void simple	101	28.451	28.455	28.435	14.332	1
interactive discover 3.2	timeout 1000 void	101	11.718	11.721	9.88	5.922	1
interactive discover 3.2	timeout 1000	101	11.343	11.346	9.756	5.754	1
interactive discover 3.2	timeout 10000 void simple	101	36.833	36.836	36.596	18.472	1
interactive discover 3.2	timeout 10000 void	101	36.982	36.986	36.716	18.596	1
interactive discover 3.2	timeout 10000	101	16.606	16.612	15.911	8.471	0
interactive discover 3.2	timeout 2000 void simple	101	28.801	28.805	28.429	14.493	1
interactive discover 3.2	timeout 2000 void	101	29.128	29.131	26.452	14.66	1
interactive discover 3.2	timeout 2000	101	28.422	28.425	28.097	14.283	1
interactive discover 3.2	timeout 20000 void simple	101	46.205	46.208	46.06	23.183	1
interactive discover 3.2	timeout 20000 void	101	46.27	46.273	45.956	23.194	1
interactive discover 3.2	timeout 20000	101	22.128	22.134	19.14	11.236	0
interactive discover 3.2	timeout 5000 void simple	101	31.646	31.649	31.311	15.904	1
interactive discover 3.2	timeout 5000 void	101	31.918	31.921	31.833	16.05	1
interactive discover 3.2	timeout 5000	101	30.846	30.849	30.288	15.497	1
interactive discover 3.3	baseline	430	22.574	22.589	22.315	13.05	0
interactive discover 3.3	overhead simple	0			0		0
interactive discover 3.3	overhead	0			0		0
interactive discover 3.3	timeout 100 void simple	0			0		0
interactive discover 3.3	timeout 100 void	430	27.387	27.399	27.157	14.902	1
interactive discover 3.3	timeout 100	430	22.279	22.293	22.155	12.595	1
interactive discover 3.3	timeout 1000 void simple	0			0		0
interactive discover 3.3	timeout 1000 void	430	32.187	32.199	28.999	17.381	1
interactive discover 3.3	timeout 1000	430	21.593	21.609	21.265	12.812	1
interactive discover 3.3	timeout 10000 void simple	0			0		0
interactive discover 3.3	timeout 10000 void	430	29.898	29.91	29.378	16.225	1
interactive discover 3.3	timeout 10000	430	32.505	32.521	28.981	17.971	1
interactive discover 3.3	timeout 2000 void simple	0			0		0
interactive discover 3.3	timeout 2000 void	430	32.864	32.891	28.58	19.558	1
interactive discover 3.3	timeout 2000	430	21.823	21.835	21.713	12.14	1
interactive discover 3.3	timeout 20000 void simple	0			0		0
interactive discover 3.3	timeout 20000 void	430	41.318	41.331	40.848	22.115	1
interactive discover 3.3	timeout 20000	430	38.263	38.276	37.943	20.519	1
interactive discover 3.3	timeout 5000 void simple	0			0		0
interactive discover 3.3	timeout 5000 void	430	25.572	25.587	24.716	14.15	1
interactive discover 3.3	timeout 5000	430	23.606	23.616	23.402	12.834	1
interactive discover 3.4	baseline	274	19.812	19.82	19.581	10.441	0
interactive discover 3.4	overhead simple	0			0		0
interactive discover 3.4	overhead	0			0		0
interactive discover 3.4	timeout 100 void simple	274	15.565	15.575	54.535	8.524	1
interactive discover 3.4	timeout 100 void	274	22.717	22.724	39.544	11.875	1
interactive discover 3.4	timeout 100	274	19.567	19.575	19.473	10.295	1
interactive discover 3.4	timeout 1000 void simple	274	15.91	15.922	15.154	8.96	1
interactive discover 3.4	timeout 1000 void	274	15.637	15.645	15.48	8.349	1
interactive discover 3.4	timeout 1000	274	15.102	15.11	14.815	8.101	1
interactive discover 3.4	timeout 10000 void simple	274	26.144	26.153	23.984	13.783	1
interactive discover 3.4	timeout 10000 void	274	23.584	23.592	23.162	12.306	1
interactive discover 3.4	timeout 10000	274	22.439	22.447	22.179	11.796	1
interactive discover 3.4	timeout 2000 void simple	274	17.004	17.014	15.704	9.279	1
interactive discover 3.4	timeout 2000 void	274	16.094	16.102	15.677	8.618	1
interactive discover 3.4	timeout 2000	274	15.334	15.342	15.158	8.27	1
interactive discover 3.4	timeout 20000 void simple	274	34.107	34.115	33.52	17.586	1
interactive discover 3.4	timeout 20000 void	274	34.987	34.997	34.296	18.233	1
interactive discover 3.4	timeout 20000	274	19.929	19.936	19.467	10.405	0
interactive discover 3.4	timeout 5000 void simple	274	18.594	18.602	18.401	9.844	1
interactive discover 3.4	timeout 5000 void	274	18.448	18.457	18.301	9.881	1
interactive discover 3.4	timeout 5000	274	17.878	17.887	17.177	9.466	1
interactive discover 4.0	baseline	144	21.733	21.734	21.57	10.868	0
interactive discover 4.0	overhead simple	0			0		0
interactive discover 4.0	overhead	0			0		0
interactive discover 4.0	timeout 100 void simple	144	22.449	22.45	19.358	11.228	1
interactive discover 4.0	timeout 100 void	144	22.793	22.793	17.724	11.396	1
interactive discover 4.0	timeout 100	144	23.371	23.372	21.885	11.69	1
interactive discover 4.0	timeout 1000 void simple	144	18.896	18.896	12.573	9.448	1
interactive discover 4.0	timeout 1000 void	144	19.572	19.572	18.808	9.786	1
interactive discover 4.0	timeout 1000	144	19.222	19.222	20.134	9.611	1
interactive discover 4.0	timeout 10000 void simple	0			0		0
interactive discover 4.0	timeout 10000 void	0			0		0
interactive discover 4.0	timeout 10000	144	27.023	27.024	17.931	13.516	1
interactive discover 4.0	timeout 2000 void simple	144	17.27	17.271	14.957	8.64	1
interactive discover 4.0	timeout 2000 void	144	19.218	19.219	11.648	9.611	1
interactive discover 4.0	timeout 2000	0			0		0
interactive discover 4.0	timeout 20000 void simple	144	28.12	28.12	28.016	14.06	1
interactive discover 4.0	timeout 20000 void	0			0		0
interactive discover 4.0	timeout 20000	144	22.011	22.011	21.895	11.005	0
interactive discover 4.0	timeout 5000 void simple	0			0		0
interactive discover 4.0	timeout 5000 void	0			0		0
interactive discover 4.0	timeout 5000	144	12.38	12.38	12.387	6.19	1
interactive discover 4.1	baseline	24	8.71	8.71	8.344	4.355	0
interactive discover 4.1	overhead simple	24	8.64	8.641	8.407	4.322	0
interactive discover 4.1	overhead	24	9.0	9.001	8.58	4.502	0
interactive discover 4.1	timeout 100 void simple	24	8.377	8.378	8.266	4.19	1
interactive discover 4.1	timeout 100 void	24	8.301	8.302	7.967	4.153	1
interactive discover 4.1	timeout 100	24	8.606	8.606	7.875	4.303	1
interactive discover 4.1	timeout 1000 void simple	24	8.386	8.387	8.204	4.196	1
interactive discover 4.1	timeout 1000 void	24	8.276	8.277	8.089	4.14	1
interactive discover 4.1	timeout 1000	24	8.467	8.468	8.253	4.235	1
interactive discover 4.1	timeout 10000 void simple	24	9.094	9.094	8.633	4.547	0
interactive discover 4.1	timeout 10000 void	24	8.918	8.918	8.753	4.459	0
interactive discover 4.1	timeout 10000	24	8.632	8.632	8.269	4.316	0
interactive discover 4.1	timeout 2000 void simple	24	8.961	8.961	8.705	4.481	0
interactive discover 4.1	timeout 2000 void	24	8.813	8.813	8.503	4.407	0
interactive discover 4.1	timeout 2000	24	8.673	8.674	8.367	4.339	0
interactive discover 4.1	timeout 20000 void simple	24	8.734	8.734	8.446	4.367	0
interactive discover 4.1	timeout 20000 void	24	8.829	8.829	8.638	4.415	0
interactive discover 4.1	timeout 20000	24	8.477	8.477	8.139	4.239	0
interactive discover 4.1	timeout 5000 void simple	24	9.454	9.454	8.625	4.727	0
interactive discover 4.1	timeout 5000 void	24	9.148	9.148	8.839	4.574	0
interactive discover 4.1	timeout 5000	24	8.765	8.765	8.186	4.383	0
interactive discover 4.2	baseline	21	7.877	7.878	7.569	3.941	0
interactive discover 4.2	overhead simple	21	8.468	8.468	7.975	4.234	0
interactive discover 4.2	overhead	21	8.098	8.098	8.001	4.049	0
interactive discover 4.2	timeout 100 void simple	21	7.476	7.477	7.216	3.74	1
interactive discover 4.2	timeout 100 void	21	8.01	8.011	7.625	4.006	1
interactive discover 4.2	timeout 100	21	7.548	7.548	7.435	3.774	1
interactive discover 4.2	timeout 1000 void simple	21	8.121	8.122	7.892	4.063	1
interactive discover 4.2	timeout 1000 void	21	7.998	7.999	7.845	4.001	1
interactive discover 4.2	timeout 1000	21	7.931	7.931	7.852	3.966	1
interactive discover 4.2	timeout 10000 void simple	21	8.04	8.041	7.912	4.022	0
interactive discover 4.2	timeout 10000 void	21	8.192	8.192	8.01	4.096	0
interactive discover 4.2	timeout 10000	21	7.785	7.786	7.696	3.895	0
interactive discover 4.2	timeout 2000 void simple	21	8.002	8.003	7.929	4.003	0
interactive discover 4.2	timeout 2000 void	21	8.212	8.213	8.013	4.108	0
interactive discover 4.2	timeout 2000	21	8.19	8.19	8.022	4.095	0
interactive discover 4.2	timeout 20000 void simple	21	8.055	8.056	7.969	4.029	0
interactive discover 4.2	timeout 20000 void	21	8.254	8.254	8.174	4.127	0
interactive discover 4.2	timeout 20000	21	8.299	8.3	7.725	4.152	0
interactive discover 4.2	timeout 5000 void simple	21	7.987	7.987	7.845	3.994	0
